path,type,size_estimate,matched_run_id,notes
checkpoints/vit_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_vit,checkpoint,0,,no ledger row matches (extracted exp_id=none)
results/echodiffusion_ambi_soundspaces_BS32_Lr0.0005_AdamW_exp710_eda_cide_input_lr5e4_bs32,result,7.2M,,no ledger row matches (extracted exp_id=exp710)
results/echodiffusion_ambi_soundspaces_BS64_Lr0.0005_AdamW_exp710_eda_cide_input_lr5e4_bs64,result,0,,no ledger row matches (extracted exp_id=exp710)
results/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_echodiff_w2v,result,0,,no ledger row matches (extracted exp_id=none)
results/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_exp912_echodiffusion_lr1e4_bs32,result,3.6M,,no ledger row matches (extracted exp_id=exp912)
results/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_exp958_R5F_S40_echodiff_bs32_r3_ep40,result,7.5M,,no ledger row matches (extracted exp_id=exp958)
results/echodiffusion_soundspaces_BS32_Lr0.0001_AdamW_exp983_R4F_S40_echodiff_cosineLR_bs32_r4_ep40,result,7.3M,,no ledger row matches (extracted exp_id=exp983)
results/echodiffusion_soundspaces_BS48_Lr0.0001_AdamW_exp920_echodiff_lr1e4_bs48_seed2,result,3.8M,,no ledger row matches (extracted exp_id=exp920)
results/echodiffusion_soundspaces_BS8_Lr0.0001_AdamW_SMOKE_echodiff,result,0,,no ledger row matches (extracted exp_id=none)
results/echonet_soundspaces_BS32_Lr0.0001_AdamW_SMOKE_echonet,result,0,,no ledger row matches (extracted exp_id=none)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp901_echorange_4log_d10_lr1e4_bs16,result,4.8M,,no ledger row matches (extracted exp_id=exp901)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp902_echorange_8log_d10_lr1e4_bs16,result,4.9M,,no ledger row matches (extracted exp_id=exp902)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp903_echorange_16log_d10_lr1e4_bs16,result,4.9M,,no ledger row matches (extracted exp_id=exp903)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp904_echorange_32log_d10_lr1e4_bs16,result,5.1M,,no ledger row matches (extracted exp_id=exp904)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp905_echorange_32log_d10_sig30_lr1e4_bs16,result,5.1M,,no ledger row matches (extracted exp_id=exp905)
results/echorange_soundspaces_BS16_Lr0.0001_AdamW_exp906_echorange_32log_d10_coslat_farmask_lr1e4_bs16,result,5.3M,,no ledger row matches (extracted exp_id=exp906)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp907_echorange_32log_d10_coslat_farmask_lr1e4_bs32,result,6.6M,,no ledger row matches (extracted exp_id=exp907)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp908_echorange_32log_d10_coslat_lr1e4_bs32,result,6.4M,,no ledger row matches (extracted exp_id=exp908)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp909_echorange_32log_d10_farmask_lr1e4_bs32,result,6.6M,,no ledger row matches (extracted exp_id=exp909)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp910_echorange_32log_d10_median_full_lr1e4_bs32,result,5.2M,,no ledger row matches (extracted exp_id=exp910)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp911_echorange_scalar_lr1e4_bs32,result,7.0M,,no ledger row matches (extracted exp_id=exp911)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp959_R5F_S40_echorange_scalar_bs32_r3_ep40,result,15M,,no ledger row matches (extracted exp_id=exp959)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp960_R5F_R40_expect_bs32_r3_ep40,result,14M,,no ledger row matches (extracted exp_id=exp960)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp961_R5F_R40_median_bs32_r3_ep40,result,11M,,no ledger row matches (extracted exp_id=exp961)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp962_R5G_R20_sq_q050_bs32_r3,result,6.8M,,no ledger row matches (extracted exp_id=exp962)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp963_R5H_R20_sh_L2_l002_bs32_r3,result,6.4M,,no ledger row matches (extracted exp_id=exp963)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp964_R5I_R20_combo_bs32_r3,result,7.0M,,no ledger row matches (extracted exp_id=exp964)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp965_R5J_R20_exp907_repro_bs32_r3,result,6.6M,,no ledger row matches (extracted exp_id=exp965)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp966_R5J_R20_cyl_horiz_base_bs32_r3,result,6.9M,,no ledger row matches (extracted exp_id=exp966)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp967_R5J_R20_cyl_horiz_sq_bs32_r3,result,6.5M,,no ledger row matches (extracted exp_id=exp967)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp978_R4F_R40_sh_l010_bs32_r4_ep40,result,14M,,no ledger row matches (extracted exp_id=exp978)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp979_R4F_R40_sq_q050_t003_bs32_r4_ep40,result,15M,,no ledger row matches (extracted exp_id=exp979)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp980_R4F_R40_sh_sq_combo_bs32_r4_ep40,result,15M,,no ledger row matches (extracted exp_id=exp980)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp981_R4F_R40_expect_cosineLR_bs32_r4_ep40,result,14M,,no ledger row matches (extracted exp_id=exp981)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp982_R4F_R40_full_stack_bs32_r4_ep40,result,15M,,no ledger row matches (extracted exp_id=exp982)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp984_R4S_sh_L0_l010_logd_bs32_r4,result,6.7M,,no ledger row matches (extracted exp_id=exp984)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp985_R4S_sh_L1_l010_logd_bs32_r4,result,6.8M,,no ledger row matches (extracted exp_id=exp985)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp986_R4S_sh_L2_l010_logd_bs32_r4,result,6.6M,,no ledger row matches (extracted exp_id=exp986)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp987_R4S_sh_L3_l010_logd_bs32_r4,result,6.8M,,no ledger row matches (extracted exp_id=exp987)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp988_R4S_sh_L4_l010_logd_bs32_r4,result,6.6M,,no ledger row matches (extracted exp_id=exp988)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp989_R4S_sh_L2_l015_logd_bs32_r4,result,6.5M,,no ledger row matches (extracted exp_id=exp989)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp990_R4S_sh_L2_l020_logd_bs32_r4,result,7.0M,,no ledger row matches (extracted exp_id=exp990)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp991_R4S_sh_L2_l030_logd_bs32_r4,result,6.5M,,no ledger row matches (extracted exp_id=exp991)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp992_R4S_sh_L2_l010_lin_bs32_r4,result,7.0M,,no ledger row matches (extracted exp_id=exp992)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp993_R4S_sh_L1_l030_logd_bs32_r4,result,6.4M,,no ledger row matches (extracted exp_id=exp993)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp994_R4S_sh_L4_l005_logd_bs32_r4,result,6.8M,,no ledger row matches (extracted exp_id=exp994)
results/echorange_soundspaces_BS32_Lr0.0001_AdamW_exp995_R4S_sh_L3_l005_logd_bs32_r4,result,6.9M,,no ledger row matches (extracted exp_id=exp995)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp913_echorange_haz32log_d10_full_lr1e4_bs48,result,5.8M,,no ledger row matches (extracted exp_id=exp913)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp914_echorange_haz32log_d10_nofree_lr1e4_bs48,result,5.5M,,no ledger row matches (extracted exp_id=exp914)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp915_echorange_haz32log_d10_nohit_lr1e4_bs48,result,6.6M,,no ledger row matches (extracted exp_id=exp915)
results/echorange_soundspaces_BS48_Lr0.0001_AdamW_exp916_echorange_haz32log_d10_depthonly_lr1e4_bs48,result,6.5M,,no ledger row matches (extracted exp_id=exp916)
